epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.76102,0.60872,64.656,2.75272,0.1142,0.18519,0.07529,0.04141,0.50417,56.0393,3.06272,0.00015003,0.00015003,0.00015003
2,7.75841,0.5762,47.2341,2.6326,0.00614,0.08642,0.00403,0.00265,0.45753,50.311,2.25073,0.000315162,0.000315162,0.000315162
3,10.7164,0.50597,22.4722,2.37173,0.00509,0.16049,0.00365,0.00212,0.54107,774.819,2.52661,0.000478644,0.000478644,0.000478644
4,13.6149,0.47247,16.3653,2.21054,0.00168,0.02469,0.00232,0.00138,0.55929,123.228,2.55047,0.000640476,0.000640476,0.000640476
5,16.549,0.51811,14.6492,2.38774,0.0043,0.08642,0.00156,0.00061,0.76163,264.893,4.56147,0.000800657,0.000800657,0.000800657
6,19.4481,0.47658,14.0734,2.28473,0.00328,0.69136,0.00336,0.00136,0.82836,47.465,4.67605,0.000959188,0.000959188,0.000959188
7,22.3111,0.49796,13.1285,2.36763,0.00178,0.17284,0.00113,0.00042,1.37643,48.1608,17.5921,0.00111607,0.00111607,0.00111607
8,25.1967,0.48846,11.6063,2.25918,0.00178,0.17284,0.00113,0.00042,1.57403,inf,80.9827,0.0012713,0.0012713,0.0012713
9,28.1351,0.54393,13.9703,2.46806,0.00178,0.17284,0.00113,0.00042,nan,nan,nan,0.00142488,0.00142488,0.00142488
10,30.9795,0.5122,12.8582,2.39995,0.00189,0.03704,0.00093,0.00019,1.73296,507.017,27.8647,0.00157681,0.00157681,0.00157681
11,33.8883,0.48239,11.5953,2.39271,0.00102,0.19753,0.00062,0.0002,1.33507,404.558,12.7017,0.00158448,0.00158448,0.00158448
12,36.7716,0.54286,12.3973,2.4839,0.00428,0.20988,0.00277,0.00161,nan,nan,nan,0.00157623,0.00157623,0.00157623
13,39.6578,0.51938,12.7708,2.35229,0.48486,0.1358,0.10911,0.05228,0.81794,32.4712,4.93049,0.00156798,0.00156798,0.00156798
14,42.6799,0.54857,12.5094,2.55227,0.64152,0.39771,0.48823,0.29093,0.56659,37.1862,3.0354,0.00155973,0.00155973,0.00155973
15,45.736,0.50095,10.8558,2.34383,0.51974,0.56117,0.57785,0.35885,0.49718,21.2188,2.88513,0.00155148,0.00155148,0.00155148
16,48.7107,0.49873,10.7902,2.40508,0.40196,0.25726,0.22881,0.11995,0.70378,29.2937,3.14632,0.00154323,0.00154323,0.00154323
17,52.3186,0.4851,10.5822,2.36085,0.02686,0.49383,0.02693,0.01506,0.73186,45.9336,3.45912,0.00153497,0.00153497,0.00153497
18,55.2428,0.52455,11.0131,2.43147,0.09097,0.09877,0.04336,0.02317,0.98349,41.9992,6.82591,0.00152672,0.00152672,0.00152672
19,58.079,0.50761,10.2944,2.38357,0.08253,0.09877,0.04507,0.01975,0.77329,47.8666,3.54799,0.00151847,0.00151847,0.00151847
20,60.9614,0.50053,10.1107,2.34166,0.45412,0.39032,0.37561,0.21,0.59781,30.2364,2.8175,0.00151022,0.00151022,0.00151022
21,63.8259,0.45269,9.62307,2.20412,0.56035,0.32099,0.3573,0.20891,0.60645,20.8363,3.10328,0.00150197,0.00150197,0.00150197
22,66.6839,0.47616,10.0908,2.29405,0.24452,0.19753,0.11719,0.06698,0.75167,29.2785,4.22091,0.00149372,0.00149372,0.00149372
23,69.521,0.47371,10.0745,2.27437,0.01775,0.02469,0.00462,0.00236,1.30293,45.3385,8.62256,0.00148546,0.00148546,0.00148546
24,72.3772,0.48032,10.0483,2.27241,0.02769,0.02469,0.0067,0.00354,1.17697,51.9122,8.42652,0.00147721,0.00147721,0.00147721
25,75.2261,0.5122,9.83825,2.34267,0.58858,0.75309,0.71438,0.41517,0.52006,10.876,2.41976,0.00146896,0.00146896,0.00146896
26,78.2118,0.50613,9.27881,2.31655,0.57607,0.8388,0.75205,0.48251,0.454,10.3302,2.23303,0.00146071,0.00146071,0.00146071
27,81.1937,0.47717,8.86352,2.29818,0.68289,0.66468,0.71436,0.49201,0.42144,11.6203,2.25802,0.00145246,0.00145246,0.00145246
28,84.1783,0.47752,9.38193,2.35185,0.67665,0.7037,0.76525,0.5349,0.43686,12.8507,2.3213,0.00144421,0.00144421,0.00144421
29,87.1865,0.4808,9.26037,2.29314,0.63125,0.24691,0.37505,0.25425,0.41985,26.8881,2.23087,0.00143595,0.00143595,0.00143595
30,90.068,0.44107,8.23052,2.1897,0.84579,0.71605,0.77932,0.51232,0.39231,9.74278,2.14336,0.0014277,0.0014277,0.0014277
31,92.9521,0.45851,7.92284,2.2808,0.53888,0.17284,0.19776,0.10158,0.51205,32.6632,2.52934,0.00141945,0.00141945,0.00141945
32,95.795,0.47069,9.51727,2.32717,0.76484,0.44173,0.54927,0.34884,0.44397,16.3288,2.36549,0.0014112,0.0014112,0.0014112
33,98.6483,0.46963,9.10693,2.24927,0.71321,0.55266,0.61786,0.38536,0.45929,21.5323,2.42091,0.00140295,0.00140295,0.00140295
34,101.505,0.46689,9.15241,2.21944,0.41674,0.28395,0.26486,0.16208,0.45187,27.9378,2.33968,0.0013947,0.0013947,0.0013947
35,104.398,0.4509,8.55486,2.20294,0.6917,0.79012,0.75848,0.46316,0.47785,10.8246,2.39449,0.00138644,0.00138644,0.00138644
36,107.256,0.47079,8.58115,2.27069,0.81254,0.80266,0.85313,0.58861,0.39045,9.71143,2.14136,0.00137819,0.00137819,0.00137819
37,110.238,0.43472,8.16772,2.15828,0.62325,0.62963,0.73508,0.47154,0.42322,20.1146,2.28046,0.00136994,0.00136994,0.00136994
38,113.078,0.44992,7.98679,2.18621,0.71984,0.63447,0.71541,0.48666,0.38534,12.4829,2.11358,0.00136169,0.00136169,0.00136169
39,115.921,0.45409,8.1165,2.19959,0.80662,0.66667,0.79699,0.51276,0.4499,10.1459,2.33444,0.00135344,0.00135344,0.00135344
40,118.779,0.46204,8.22775,2.2357,0.6006,0.54321,0.56469,0.32446,0.49809,25.3823,2.49465,0.00134519,0.00134519,0.00134519
41,121.619,0.44816,7.80141,2.21671,0.62499,0.63787,0.69842,0.44162,0.4665,22.7164,2.39442,0.00133693,0.00133693,0.00133693
42,124.466,0.45815,8.29993,2.21563,0.4967,0.31684,0.4252,0.27975,0.44246,34.85,2.28352,0.00132868,0.00132868,0.00132868
43,127.347,0.43585,7.96651,2.2026,0.55377,0.38272,0.48663,0.30082,0.43044,35.3902,2.26933,0.00132043,0.00132043,0.00132043
44,130.192,0.43163,7.31691,2.17147,0.76205,0.55355,0.70591,0.4682,0.43726,19.0928,2.27921,0.00131218,0.00131218,0.00131218
45,133.044,0.44941,7.93312,2.25783,0.83541,0.67901,0.79798,0.55442,0.40498,9.96792,2.20542,0.00130393,0.00130393,0.00130393
46,135.949,0.44449,7.57341,2.21979,0.72837,0.62899,0.74794,0.4912,0.41807,16.9884,2.29969,0.00129568,0.00129568,0.00129568
47,138.798,0.44084,7.24211,2.18091,0.68858,0.54598,0.63434,0.41659,0.41749,14.6037,2.27933,0.00128742,0.00128742,0.00128742
48,141.672,0.42755,7.12903,2.15904,0.61101,0.49383,0.59244,0.37024,0.44543,18.5935,2.38864,0.00127917,0.00127917,0.00127917
49,144.55,0.43106,7.19844,2.14922,0.61414,0.47162,0.58995,0.35538,0.46966,13.9329,2.49609,0.00127092,0.00127092,0.00127092
50,147.422,0.45782,7.36098,2.25394,0.29469,0.35802,0.30135,0.1753,0.5294,25.1385,2.47197,0.00126267,0.00126267,0.00126267
