epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8542,0.51784,23.133,2.33928,0.47712,0.63085,0.49919,0.3557,0.42378,18.1325,2.17594,0.001667,0.001667,0.001667
2,7.73651,0.49603,22.5618,2.38894,0.43559,0.63141,0.50324,0.3607,0.42269,18.7376,2.17962,0.00165875,0.00165875,0.00165875
3,10.6633,0.53451,19.0336,2.42625,0.2867,0.41477,0.30541,0.2038,0.47993,22.4903,2.31992,0.0016505,0.0016505,0.0016505
4,13.7603,0.52428,13.6234,2.41431,0.43221,0.50028,0.41798,0.24939,0.56812,19.8116,2.57307,0.00164225,0.00164225,0.00164225
5,16.7632,0.48648,12.4019,2.31981,0.43064,0.83013,0.48129,0.30158,0.53646,13.0044,2.4096,0.00163399,0.00163399,0.00163399
6,19.8035,0.49482,11.8195,2.26908,0.46521,0.73619,0.49137,0.32222,0.47329,12.7162,2.25911,0.00162574,0.00162574,0.00162574
7,22.8267,0.46445,11.7542,2.23821,0.43284,0.65218,0.43472,0.29555,0.47489,14.1644,2.288,0.00161749,0.00161749,0.00161749
8,25.8908,0.47023,11.6964,2.29298,0.42724,0.63527,0.41668,0.23215,0.56201,15.1151,2.65418,0.00160924,0.00160924,0.00160924
9,28.9586,0.46661,11.564,2.24775,0.42246,0.7285,0.45208,0.31266,0.45299,13.5149,2.25418,0.00160099,0.00160099,0.00160099
10,32.0132,0.45875,11.1206,2.2199,0.41494,0.86857,0.52872,0.36593,0.43724,12.0138,2.22298,0.00159274,0.00159274,0.00159274
11,35.1717,0.43534,11.0487,2.18151,0.44854,0.79172,0.50118,0.34954,0.42636,11.6124,2.20265,0.00158448,0.00158448,0.00158448
12,38.1688,0.45978,10.745,2.25323,0.53203,0.41777,0.39254,0.24372,0.5807,14.874,2.8031,0.00157623,0.00157623,0.00157623
13,41.2165,0.45514,10.5908,2.21132,0.41473,0.76321,0.43593,0.28268,0.51274,14.2241,2.43204,0.00156798,0.00156798,0.00156798
14,44.2793,0.46505,11.1719,2.21943,0.40285,0.70078,0.47075,0.32742,0.45848,14.2682,2.30206,0.00155973,0.00155973,0.00155973
15,47.2779,0.46987,10.8657,2.24321,0.3602,0.72719,0.37126,0.2354,0.47987,20.414,2.29314,0.00155148,0.00155148,0.00155148
16,50.267,0.43887,10.3371,2.13899,0.51295,0.58493,0.51546,0.34076,0.45875,13.1077,2.24144,0.00154323,0.00154323,0.00154323
17,53.2819,0.45593,9.74478,2.21103,0.44145,0.74257,0.46032,0.33283,0.41892,12.5206,2.21694,0.00153497,0.00153497,0.00153497
18,56.3008,0.42448,9.20974,2.15017,0.43456,0.80762,0.50978,0.35752,0.42592,12.6215,2.22191,0.00152672,0.00152672,0.00152672
19,59.3347,0.42567,9.19812,2.18432,0.60213,0.64916,0.59259,0.38854,0.47642,14.2039,2.29015,0.00151847,0.00151847,0.00151847
20,62.5885,0.4627,9.47584,2.21781,0.57216,0.57774,0.55808,0.37155,0.45675,12.1535,2.32906,0.00151022,0.00151022,0.00151022
21,65.6112,0.43789,8.98716,2.15089,0.40249,0.64016,0.54136,0.35326,0.47645,14.671,2.27222,0.00150197,0.00150197,0.00150197
22,68.666,0.42185,9.21406,2.11787,0.5777,0.57932,0.60112,0.4072,0.47389,12.3863,2.24719,0.00149372,0.00149372,0.00149372
23,71.8145,0.44413,9.21938,2.15444,0.56007,0.65599,0.60246,0.37799,0.46075,11.3964,2.23688,0.00148546,0.00148546,0.00148546
24,74.8223,0.41629,9.25907,2.09975,0.33087,0.62737,0.53796,0.36928,0.44579,16.4145,2.22845,0.00147721,0.00147721,0.00147721
25,77.8453,0.41347,8.41711,2.13359,0.46324,0.66717,0.47718,0.33824,0.39375,13.2115,2.0961,0.00146896,0.00146896,0.00146896
26,80.8972,0.40117,8.08751,2.08852,0.53929,0.68067,0.55814,0.37199,0.48977,13.4311,2.27273,0.00146071,0.00146071,0.00146071
27,83.9316,0.41098,8.31101,2.0939,0.57784,0.58883,0.54312,0.35006,0.44372,13.34,2.2484,0.00145246,0.00145246,0.00145246
28,86.9544,0.4052,8.34784,2.08498,0.44148,0.69538,0.51621,0.33839,0.45171,13.3016,2.2733,0.00144421,0.00144421,0.00144421
29,90.0115,0.40956,8.79247,2.13341,0.52815,0.68067,0.58468,0.4048,0.42552,11.5908,2.17263,0.00143595,0.00143595,0.00143595
30,93.03,0.43228,8.19538,2.14691,0.438,0.69146,0.49332,0.34612,0.43642,12.4285,2.17109,0.0014277,0.0014277,0.0014277
31,96.0895,0.41452,7.86136,2.03484,0.45675,0.57201,0.42919,0.29229,0.4804,14.8657,2.25994,0.00141945,0.00141945,0.00141945
32,99.0954,0.42002,8.30262,2.1015,0.60224,0.69768,0.65405,0.43217,0.42318,14.8513,2.14211,0.0014112,0.0014112,0.0014112
33,102.278,0.4034,8.0233,2.07816,0.70786,0.61632,0.66582,0.45753,0.44283,11.5066,2.18691,0.00140295,0.00140295,0.00140295
34,105.486,0.40155,7.66502,2.07843,0.37546,0.74482,0.49717,0.33476,0.43879,14.7537,2.21762,0.0013947,0.0013947,0.0013947
35,108.494,0.40113,7.41506,2.09168,0.39124,0.65096,0.47889,0.3506,0.4285,15.2921,2.16401,0.00138644,0.00138644,0.00138644
36,111.543,0.3837,7.42229,2.0423,0.46236,0.73068,0.56648,0.38553,0.44135,12.5378,2.15184,0.00137819,0.00137819,0.00137819
37,114.565,0.40701,7.68245,2.07238,0.54736,0.75555,0.66352,0.44956,0.41979,11.6783,2.1229,0.00136994,0.00136994,0.00136994
38,117.611,0.40644,8.14739,2.07116,0.50148,0.607,0.50946,0.34369,0.45972,14.395,2.19768,0.00136169,0.00136169,0.00136169
39,120.685,0.38943,7.29637,2.03428,0.56246,0.64777,0.53593,0.35162,0.43223,13.0582,2.17718,0.00135344,0.00135344,0.00135344
40,123.721,0.41805,7.48691,2.09333,0.48446,0.78842,0.59077,0.41911,0.4101,13.0893,2.10441,0.00134519,0.00134519,0.00134519
41,126.755,0.40594,7.3987,2.07807,0.55323,0.70437,0.56008,0.37954,0.46416,12.4715,2.23081,0.00133693,0.00133693,0.00133693
42,129.775,0.38888,7.7515,2.04468,0.49766,0.7485,0.60009,0.41801,0.40532,11.3348,2.12245,0.00132868,0.00132868,0.00132868
43,132.823,0.40118,7.75112,2.07739,0.46699,0.69298,0.49792,0.327,0.44429,12.0234,2.2528,0.00132043,0.00132043,0.00132043
44,135.926,0.39897,7.73452,2.07471,0.49973,0.60804,0.52447,0.34365,0.45139,11.8999,2.32912,0.00131218,0.00131218,0.00131218
45,139.01,0.39469,6.71325,2.07336,0.51343,0.59089,0.54623,0.35624,0.43514,12.9427,2.24573,0.00130393,0.00130393,0.00130393
46,142.109,0.38866,6.90051,2.08975,0.6045,0.66102,0.55626,0.37314,0.43676,12.645,2.2002,0.00129568,0.00129568,0.00129568
47,145.168,0.39853,7.94661,2.06102,0.55613,0.59004,0.53023,0.37744,0.42482,12.675,2.15617,0.00128742,0.00128742,0.00128742
48,148.182,0.4117,7.53592,2.08044,0.62699,0.44347,0.41956,0.30532,0.48026,21.6537,2.2879,0.00127917,0.00127917,0.00127917
49,151.197,0.41041,7.82178,2.10543,0.44228,0.63943,0.50168,0.34657,0.44516,12.8978,2.26282,0.00127092,0.00127092,0.00127092
50,154.213,0.39012,6.95001,2.04235,0.52631,0.55118,0.55348,0.38872,0.43125,12.1059,2.22029,0.00126267,0.00126267,0.00126267
51,157.222,0.40124,7.18157,2.06286,0.60456,0.61285,0.57714,0.3955,0.4763,13.9285,2.28767,0.00125442,0.00125442,0.00125442
52,160.23,0.41046,7.08711,2.0706,0.57151,0.69259,0.61175,0.4152,0.43341,11.598,2.2111,0.00124617,0.00124617,0.00124617
53,163.271,0.38928,7.31895,2.07191,0.47549,0.63182,0.48602,0.32778,0.43773,13.0755,2.2369,0.00123791,0.00123791,0.00123791
54,166.324,0.40061,6.83213,2.06001,0.65525,0.67406,0.68587,0.48615,0.41562,10.9636,2.1511,0.00122966,0.00122966,0.00122966
55,169.56,0.37994,6.84884,2.00752,0.54697,0.58193,0.52627,0.35981,0.41441,11.9504,2.15643,0.00122141,0.00122141,0.00122141
56,172.595,0.39322,7.34329,2.07008,0.50227,0.55421,0.47834,0.30902,0.47524,15.3339,2.29812,0.00121316,0.00121316,0.00121316
57,175.673,0.3911,6.5558,2.02623,0.56645,0.62185,0.60228,0.41737,0.42968,12.5264,2.15128,0.00120491,0.00120491,0.00120491
58,178.788,0.40026,6.70087,2.06471,0.56191,0.65336,0.57204,0.4027,0.4131,12.0821,2.14565,0.00119666,0.00119666,0.00119666
59,181.836,0.40048,6.81807,2.04933,0.57532,0.65246,0.65189,0.4506,0.44268,12.3293,2.21165,0.0011884,0.0011884,0.0011884
60,184.857,0.37585,6.48385,2.00224,0.65158,0.65936,0.64824,0.46478,0.44046,13.84,2.25774,0.00118015,0.00118015,0.00118015
