epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3157,0.73358,73.207,3.07078,0.03786,0.08824,0.01223,0.00596,0.61629,69.6737,3.36945,0.00015003,0.00015003,0.00015003
2,8.49224,0.62842,56.3244,2.79823,0.30578,0.14198,0.13629,0.09412,0.50557,60.4886,2.63529,0.000315162,0.000315162,0.000315162
3,11.832,0.49018,23.467,2.27039,0.09623,0.77671,0.17318,0.10345,0.54179,513.956,2.31194,0.000478644,0.000478644,0.000478644
4,15.0549,0.48239,17.8047,2.29282,0.10533,0.08493,0.08652,0.04934,0.88087,1615.84,6.18991,0.000640476,0.000640476,0.000640476
5,18.1643,0.50871,15.5484,2.38133,0.00011,0.07353,7e-05,2e-05,1.42064,inf,53.1041,0.000800657,0.000800657,0.000800657
6,21.1823,0.51005,15.1643,2.30355,0.43949,0.02041,0.02596,0.01726,1.02897,91.8119,15.0967,0.000959188,0.000959188,0.000959188
7,24.1735,0.47093,14.0608,2.23096,0.00019,0.10294,0.00147,0.00062,1.3757,51.0242,82.5519,0.00111607,0.00111607,0.00111607
8,27.1826,0.48166,13.8364,2.25508,0.37294,0.40666,0.3032,0.19585,0.55822,22.4427,2.64533,0.0012713,0.0012713,0.0012713
9,30.3412,0.51702,14.3063,2.43224,0.42293,0.40465,0.35027,0.20495,0.58363,22.3998,2.91583,0.00142488,0.00142488,0.00142488
10,33.4709,0.51148,13.6295,2.44036,0.37083,0.39976,0.28025,0.15505,0.76899,19.413,3.74967,0.00157681,0.00157681,0.00157681
11,36.4997,0.49269,13.1266,2.42025,0.39706,0.83432,0.43255,0.25673,0.53589,14.6048,2.76959,0.00158448,0.00158448,0.00158448
12,39.6743,0.49495,12.8653,2.46521,0.35341,0.28902,0.27969,0.17561,0.6069,23.3022,3.20703,0.00157623,0.00157623,0.00157623
13,42.6808,0.51415,14.2409,2.4103,0.00665,0.0102,0.00166,0.00059,nan,nan,nan,0.00156798,0.00156798,0.00156798
14,45.7196,0.49242,13.9546,2.36178,0.00665,0.0102,0.00166,0.00059,nan,nan,nan,0.00155973,0.00155973,0.00155973
15,48.7287,0.47204,12.4101,2.26835,0.00024,0.0102,0.0001,3e-05,nan,nan,nan,0.00155148,0.00155148,0.00155148
16,51.7382,0.4909,12.7991,2.28006,0.39411,0.29384,0.21588,0.14843,nan,nan,nan,0.00154323,0.00154323,0.00154323
17,54.7633,0.51513,12.7674,2.37707,0.38859,0.34802,0.26617,0.14454,0.76423,24.2133,4.04874,0.00153497,0.00153497,0.00153497
18,57.7707,0.4972,11.6126,2.3895,0.28863,0.19238,0.17092,0.10761,1.03332,34.566,5.37557,0.00152672,0.00152672,0.00152672
19,60.7724,0.53423,12.1714,2.51344,0.0519,0.01471,0.00495,0.0039,1.42542,52.255,16.3899,0.00151847,0.00151847,0.00151847
20,63.7798,0.50452,11.9702,2.36545,0.00504,0.01471,0.00109,0.00083,1.40472,62.9256,16.5555,0.00151022,0.00151022,0.00151022
21,66.7903,0.48107,10.8919,2.31665,0.00328,0.48709,0.00294,0.00099,1.06817,56.5235,7.22279,0.00150197,0.00150197,0.00150197
22,69.8102,0.48606,11.0902,2.3442,0.4647,0.04982,0.05206,0.03162,nan,nan,nan,0.00149372,0.00149372,0.00149372
23,72.8027,0.47501,11.1593,2.3071,0.00189,0.22299,0.00166,0.0006,nan,nan,nan,0.00148546,0.00148546,0.00148546
24,75.7999,0.48666,11.5737,2.30126,0.00294,0.04082,0.01415,0.00556,nan,nan,nan,0.00147721,0.00147721,0.00147721
25,78.7903,0.48974,11.12,2.38786,0.12558,0.03511,0.02065,0.01298,nan,nan,nan,0.00146896,0.00146896,0.00146896
26,81.777,0.47126,10.8884,2.31078,0.12882,0.04082,0.09734,0.04265,0.99966,36.9367,5.23658,0.00146071,0.00146071,0.00146071
27,85.7352,0.46215,10.4194,2.29085,0.32793,0.51651,0.29008,0.15481,0.63044,22.7456,2.79758,0.00145246,0.00145246,0.00145246
28,88.7274,0.44883,10.6468,2.22992,0.34696,0.38836,0.39749,0.22405,0.60174,20.9035,2.70339,0.00144421,0.00144421,0.00144421
29,91.7157,0.49146,11.4537,2.37027,0.43461,0.58553,0.43901,0.27535,0.50783,16.1414,2.45799,0.00143595,0.00143595,0.00143595
30,94.8682,0.47787,10.5822,2.30409,0.56581,0.5075,0.5175,0.33609,0.47357,15.8703,2.28812,0.0014277,0.0014277,0.0014277
31,98.0222,0.47994,9.62168,2.24351,0.43717,0.65268,0.50086,0.31648,0.5588,16.1467,2.51005,0.00141945,0.00141945,0.00141945
32,101.058,0.4759,10.5953,2.30616,0.35045,0.5793,0.3975,0.27202,0.45982,20.0006,2.28843,0.0014112,0.0014112,0.0014112
33,104.072,0.44801,10.1364,2.25249,0.43564,0.64226,0.4915,0.31835,0.52763,14.1349,2.48137,0.00140295,0.00140295,0.00140295
34,107.102,0.45342,9.4337,2.20948,0.41869,0.63329,0.43225,0.27765,0.51083,17.3255,2.30407,0.0013947,0.0013947,0.0013947
35,110.101,0.47416,9.6151,2.25852,0.46996,0.56062,0.47916,0.31549,0.4817,12.7701,2.23734,0.00138644,0.00138644,0.00138644
36,113.121,0.45392,9.01175,2.24011,0.44792,0.58794,0.46354,0.27496,0.58846,17.3117,2.59107,0.00137819,0.00137819,0.00137819
37,116.138,0.46371,9.71987,2.27226,0.55438,0.63519,0.55013,0.35724,0.47865,14.9079,2.33713,0.00136994,0.00136994,0.00136994
38,119.325,0.47128,10.3176,2.25586,0.58262,0.62782,0.59729,0.36769,0.50769,12.1456,2.41929,0.00136169,0.00136169,0.00136169
39,122.473,0.4282,8.87427,2.15283,0.44768,0.74906,0.57521,0.37297,0.48936,12.8676,2.40854,0.00135344,0.00135344,0.00135344
40,125.604,0.44957,9.64613,2.23255,0.41596,0.71098,0.51386,0.33367,0.5302,15.8677,2.51281,0.00134519,0.00134519,0.00134519
41,128.645,0.45377,9.86525,2.23541,0.45593,0.79712,0.62003,0.36886,0.49679,12.6778,2.36948,0.00133693,0.00133693,0.00133693
42,131.809,0.45408,9.38037,2.26306,0.48083,0.66981,0.57492,0.37085,0.48586,12.6925,2.43567,0.00132868,0.00132868,0.00132868
43,134.829,0.46967,9.41326,2.2861,0.50914,0.73499,0.57156,0.3726,0.48116,12.0081,2.33928,0.00132043,0.00132043,0.00132043
44,137.842,0.45597,9.59291,2.23473,0.52491,0.61651,0.55671,0.37756,0.46,12.2425,2.25009,0.00131218,0.00131218,0.00131218
45,140.997,0.44217,8.87374,2.20614,0.56632,0.49166,0.51572,0.34959,0.45749,14.4213,2.26161,0.00130393,0.00130393,0.00130393
46,143.985,0.4429,8.82311,2.23286,0.4467,0.80732,0.58471,0.41197,0.43379,11.6169,2.26023,0.00129568,0.00129568,0.00129568
47,147.132,0.43144,8.91726,2.20977,0.40265,0.75685,0.51925,0.34254,0.45325,12.1941,2.38589,0.00128742,0.00128742,0.00128742
48,150.204,0.43712,8.91147,2.19748,0.46709,0.80786,0.6217,0.42522,0.44125,11.8789,2.25881,0.00127917,0.00127917,0.00127917
49,153.356,0.43672,9.44795,2.22464,0.45012,0.71789,0.48551,0.32576,0.44913,12.7763,2.30188,0.00127092,0.00127092,0.00127092
50,156.354,0.42772,8.4645,2.16814,0.45755,0.80131,0.52442,0.34856,0.47081,13.2801,2.38039,0.00126267,0.00126267,0.00126267
51,159.375,0.42017,8.78407,2.15258,0.389,0.52971,0.40369,0.2687,0.51066,15.4415,2.42529,0.00125442,0.00125442,0.00125442
52,162.372,0.42721,8.21459,2.15837,0.43756,0.7542,0.51132,0.35167,0.44416,12.7142,2.27544,0.00124617,0.00124617,0.00124617
53,165.425,0.40979,8.15288,2.15091,0.41434,0.70768,0.5392,0.38667,0.45108,12.9346,2.29595,0.00123791,0.00123791,0.00123791
54,168.411,0.43213,8.30204,2.2011,0.46248,0.69594,0.56308,0.36959,0.44311,12.3593,2.26118,0.00122966,0.00122966,0.00122966
55,171.414,0.39848,7.64771,2.06006,0.46552,0.78481,0.54739,0.35364,0.43304,12.3932,2.19304,0.00122141,0.00122141,0.00122141
56,174.43,0.40604,8.15372,2.12347,0.48359,0.78241,0.55866,0.38442,0.42967,12.7816,2.23741,0.00121316,0.00121316,0.00121316
57,177.446,0.40566,7.91987,2.11021,0.62186,0.60692,0.59654,0.40495,0.44839,10.8504,2.26023,0.00120491,0.00120491,0.00120491
58,180.473,0.42248,7.85916,2.12652,0.54273,0.60651,0.56489,0.37598,0.43783,12.2156,2.22751,0.00119666,0.00119666,0.00119666
59,183.489,0.43482,8.3852,2.19769,0.50553,0.68187,0.55827,0.38226,0.42658,12.6665,2.32508,0.0011884,0.0011884,0.0011884
60,186.5,0.40291,7.57817,2.13694,0.46711,0.67857,0.55118,0.3679,0.463,13.7309,2.32711,0.00118015,0.00118015,0.00118015
61,189.515,0.3936,7.33611,2.10034,0.40725,0.73589,0.4739,0.33359,0.44715,12.9494,2.30323,0.0011719,0.0011719,0.0011719
62,192.561,0.39546,7.55347,2.09388,0.42821,0.76288,0.46734,0.3266,0.44326,13.3181,2.2295,0.00116365,0.00116365,0.00116365
63,195.619,0.42126,8.2126,2.14562,0.44471,0.83013,0.6034,0.40592,0.46486,10.5096,2.26301,0.0011554,0.0011554,0.0011554
64,198.683,0.41203,7.41961,2.11405,0.45142,0.72187,0.48332,0.33039,0.45031,14.4931,2.24255,0.00114715,0.00114715,0.00114715
65,201.746,0.40654,7.9321,2.11092,0.45176,0.79833,0.54606,0.36472,0.48527,13.5306,2.35306,0.00113889,0.00113889,0.00113889
