epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45045,0.69238,69.7941,2.99015,0.00784,0.12821,0.00423,0.00214,0.64752,67.3142,3.38195,0.00013336,0.00013336,0.00013336
2,7.39113,0.65705,54.6993,2.80457,0.26776,0.22313,0.18567,0.10016,0.73459,49.8729,3.15436,0.000281987,0.000281987,0.000281987
3,10.2755,0.53626,30.6006,2.40557,0.4343,0.49393,0.37526,0.2295,0.70412,50.7683,2.5296,0.000429129,0.000429129,0.000429129
4,13.1466,0.56354,22.0782,2.54496,0.28903,0.10459,0.16687,0.13412,0.75622,58.9204,2.92309,0.000574786,0.000574786,0.000574786
5,15.8266,0.53568,17.8201,2.35531,0.00512,0.12922,0.00284,0.00112,0.99105,271.998,5.959,0.000718957,0.000718957,0.000718957
6,18.4713,0.5233,16.2071,2.32692,6e-05,0.01282,3e-05,2e-05,1.15169,83.9694,5.9532,0.000861643,0.000861643,0.000861643
7,21.0941,0.50535,14.8822,2.33294,0.50259,0.01282,0.00065,0.00024,0.85894,54.1759,4.28622,0.00100284,0.00100284,0.00100284
8,23.7043,0.49595,14.9664,2.29424,0.2067,0.28544,0.18081,0.07292,0.80909,37.8418,3.7249,0.00114256,0.00114256,0.00114256
9,26.3382,0.54584,14.309,2.39163,0.26197,0.25945,0.17294,0.1006,0.68336,44.4688,3.13211,0.00128079,0.00128079,0.00128079
10,28.976,0.51392,14.8159,2.35226,0.2958,0.40081,0.25732,0.15392,0.65386,56.6662,2.85911,0.00141753,0.00141753,0.00141753
11,31.589,0.49695,14.0468,2.29901,0.35855,0.59919,0.38202,0.21552,0.71235,21.5696,3.07813,0.00155279,0.00155279,0.00155279
12,34.1958,0.50313,13.5313,2.31975,0.33623,0.20884,0.14465,0.067,0.95876,45.0083,4.05584,0.00157623,0.00157623,0.00157623
13,36.788,0.52773,14.6855,2.38683,0.2924,0.20783,0.1737,0.09633,0.86272,28.4851,3.85168,0.00156798,0.00156798,0.00156798
14,39.3785,0.54743,14.3554,2.41195,0.20193,0.10324,0.08624,0.04514,0.92001,35.5376,4.07033,0.00155973,0.00155973,0.00155973
15,42.0355,0.50687,13.4529,2.27818,0.24878,0.41329,0.25877,0.12753,0.71851,24.8138,2.97631,0.00155148,0.00155148,0.00155148
16,44.6401,0.54011,13.3459,2.36051,0.13952,0.17004,0.09366,0.03265,0.97747,34.1429,4.30713,0.00154323,0.00154323,0.00154323
17,47.2739,0.54349,13.5652,2.3988,0.13952,0.17004,0.09366,0.03265,nan,nan,nan,0.00153497,0.00153497,0.00153497
18,49.8975,0.52101,12.9109,2.40492,0.38392,0.51068,0.35741,0.19524,0.69451,18.2648,2.89986,0.00152672,0.00152672,0.00152672
